OBJECTID,Badge,Feeder,Latitude,Longitude,Outage_Number
9729,ME-1Q2025369,Oistins,13.05473396,-59.53050635,3
9730,ME-1Q2025201,Oistins,13.05138678,-59.53184536,3
9731,ME-1Q2025240,Oistins,13.05904396,-59.53535748,3
9732,ME-1Q2025403,Oistins,13.05607977,-59.53325659,3
9733,ME-1Q2025244,Oistins,13.05941503,-59.53502508,3
9734,ME-1Q2025276,Oistins,13.06151444,-59.5372299,3
9735,ME-1Q2025271,Oistins,13.06152347,-59.53716892,3
9736,ME-1Q2025245,Oistins,13.05847797,-59.53423938,3
9737,ME-1Q2025204,Oistins,13.05807663,-59.53400413,3
9738,ME-1Q2025342,Oistins,13.05593033,-59.53365316,3
9739,ME-1P1007015,Oistins,13.05835723,-59.52892842,3
9740,ME-1P1007024,Oistins,13.05458296,-59.5295751,3
9741,ME-1P1007011,Oistins,13.05895939,-59.5264853,3
9742,ME-1P1007010,Oistins,13.05884714,-59.52724415,3
9743,ME-1P1006942,Oistins,13.05590255,-59.53278259,3
9744,ME-1Q2025654,Oistins,13.05203387,-59.53185576,3
9745,ME-1Q2025600,Oistins,13.05296798,-59.53033761,3
9746,ME-1Q2025643,Oistins,13.05375881,-59.53207872,3
9747,ME-1Q2025655,Oistins,13.05228241,-59.53225833,3
9748,ME-1Q2025468,Oistins,13.05544753,-59.53082545,3
9749,ME-1Q2025570,Oistins,13.05254818,-59.52732054,3
9750,ME-1Q2025584,Oistins,13.05315012,-59.53084427,3
9751,ME-1Q2025481,Oistins,13.05613097,-59.53150873,3
9752,ME-1Q2025463,Oistins,13.05634718,-59.5288309,3
9753,ME-1Q2025673,Oistins,13.05271159,-59.53338158,3
9754,ME-1Q2026000,Oistins,13.05860928,-59.52558165,3
9755,ME-1P1007160,Oistins,13.05397338,-59.5307148,3
9756,ME-1P1007211,Oistins,13.05372016,-59.52753269,3
9757,ME-1Q2026418,Oistins,13.05720001,-59.53204435,3
9758,ME-1Q2026442,Oistins,13.05664435,-59.52877707,3
9759,ME-1Q2026967,Oistins,13.06924206,-59.56424082,3
9760,ME-1Q2024861,Oistins,13.05719922,-59.53231643,3
9761,ME-1Q2024862,Oistins,13.05762844,-59.53296778,3
9762,ME-1Q2025027,Oistins,13.06056379,-59.53393906,3
9763,ME-1Q2024660,Oistins,13.06089609,-59.53744067,3
9764,ME-1Q2024848,Oistins,13.05758506,-59.53246253,3
9765,ME-1Q2025274,Oistins,13.06158376,-59.5371775,3
9766,ME-1Q2025269,Oistins,13.06161167,-59.5372084,3
9767,ME-1Q2025387,Oistins,13.05428459,-59.53079506,3
9768,ME-1Q2025330,Oistins,13.05519621,-59.53227619,3
9769,ME-1Q2025350,Oistins,13.05528847,-59.53388298,3
9770,ME-1Q2025358,Oistins,13.05431583,-59.52962257,3
9771,ME-1Q2025213,Oistins,13.05804314,-59.53321897,3
9772,ME-1Q2025398,Oistins,13.06221542,-59.53699647,3
9773,ME-1P1007017,Oistins,13.05868168,-59.52983342,3
9774,ME-1P1007013,Oistins,13.05775611,-59.52838519,3
9775,ME-1Q2025640,Oistins,13.05263061,-59.53137847,3
9776,ME-1Q2025540,Oistins,13.05260014,-59.52716276,3
9777,ME-1Q2025636,Oistins,13.05234627,-59.53147116,3
9778,ME-1Q2025652,Oistins,13.0520198,-59.53183138,3
9779,ME-1Q2025479,Oistins,13.05595875,-59.52887117,3
9780,ME-1Q2025670,Oistins,13.05288564,-59.5331095,3
9781,ME-1Q2025602,Oistins,13.05395035,-59.53326387,3
9782,ME-1Q2025480,Oistins,13.05578985,-59.53161732,3
9783,ME-1P1007165,Oistins,13.05483172,-59.52877321,3
9784,ME-1P1007151,Oistins,13.04997745,-59.52983161,3
9785,ME-1P1007071,Oistins,13.05678617,-59.52848847,3
9786,ME-1P1007153,Oistins,13.04960994,-59.530257,3
9787,ME-1Q2025998,Oistins,13.05865129,-59.52519796,3
9788,ME-1Q2026017,Oistins,13.0588296,-59.52493184,3
9789,ME-1Q2026593,Oistins,13.06713593,-59.54426939,3
9790,ME-1Q2026419,Oistins,13.05711716,-59.53207196,3
9791,ME-1Q2026969,Oistins,13.06946356,-59.5638455,3
9792,ME-1P1000431,Oistins,13.07447879,-59.5508615,3
9793,ME-1P1000430,Oistins,13.07415165,-59.55185074,3
9794,ME-1Q2025418,Oistins,13.0564525,-59.5320551,3
9795,ME-1Q2025352,Oistins,13.05533054,-59.53387004,3
9796,ME-1Q2025349,Oistins,13.05169336,-59.53222999,3
9797,ME-1Q2025394,Oistins,13.05598004,-59.53159852,3
9798,ME-1Q2025364,Oistins,13.05491663,-59.52915419,3
9799,ME-1Q2025443,Oistins,13.0546366,-59.52803757,3
9800,ME-1Q2025425,Oistins,13.05449647,-59.52853833,3
9801,ME-1Q2025231,Oistins,13.05165768,-59.53135901,3
9802,ME-1Q2025230,Oistins,13.05142642,-59.5314223,3
9803,ME-1Q2025657,Oistins,13.0531287,-59.5318031,3
9804,ME-1Q2025462,Oistins,13.05638812,-59.52882629,3
9805,ME-1Q2025470,Oistins,13.0554434,-59.52922666,3
9806,ME-1Q2025646,Oistins,13.0521427,-59.53203223,3
9807,ME-1Q2025647,Oistins,13.05344668,-59.5313685,3
9808,ME-1Q2025560,Oistins,13.05155903,-59.52747389,3
9809,ME-1Q2025515,Oistins,13.05250553,-59.52836044,3
